id,joke,category_human,category_llm
1,The best way to catch a Bear.. First you gotta dig a hole just big enough that the bear won't be able to climb it's way out. Then along the edges you put berries and other things bears eat and once you've done that you fill the hole in with ash. So once the bear comes up and starts to eat the berries you sneak behind him and kick him in the ash hole.,,None
2,What do you call a domineering pill bug? A controly-poly!,,None
3,What do you call someone whose filed bankruptcy 4 times and divorced twice? A GOP Presidential candidate. ,,Class/Occupation
4,"Some girl told me today I was odd, I can't even...",,None
5,"What did the pirate say on his eightieth birthday? Aye, Matey!",,Age-based
6,What do you call a woman who smuggles things inside her? A cuntainer.,,Gender-based
7,I searched dirty jokes in google to repost on r/jokes My face popped up as the first result.,,None
8,where's the only living gay Saudi Arabian? just over a stones throw away,,Sexual orientation; Racial/Ethnic
9,"I've heard all the Pro life vs Pro choice debates, and after hearing the debates, i came up with a compromise. I propose Pro Abortion, in which we abort everybody.",,None
10,My penis is only 4 inches... ...but I find most girls don't like it that wide.,,Gender-based
11,"Abdul writes to his son Ahmed ""Dear Ahmed,"" so goes the letter. ""I want to plant some vegetables in my garden so that we can have some home-grown food in the winter. But you know how bad my back is. Could you please come visit me and help me with it?""  The reply comes soon. ""Father, I am sorry but I am preoccupied with work, so I can't help. And I'm not sure we should be digging up your garden, because as I recall, my friend Amir hid *the thing* there.""  The very next day, security services show up at Abdul's home, check every nook and cranny, cause the old man quite a fright, but eventually, finding nothing, they leave. Abdul, distressed, writes back to Ahmed.  ""Dear Ahmed! A bunch of guys in black suits showed up today, trampled mud all over the house, and poked their nose into everything they could find! They left and let me go, but what was that all about?""  And the reply  ""Father; they dug up the garden too, haven't they? You can plant your vegetables now. Again, I am sorry I could not help otherwise, but I'll make it up to you with my potato salad that you like so much. Love, Ahmed.""",,Racial/Ethnic
12,"Give a man a jacket... And he'll be able to leave the house.  Teach a man to jacket, and he'll never leave the house.",,Gender-based
13,"If you’ve never tried blindfolded archery, let me tell you... You don’t know what you’re missing.",,None
14,"A young woman was rummaging through her grandmother’s belongings, and she came across a mysterious lamp. A young woman was rummaging through her grandmother’s belongings, and she came across a mysterious lamp. Upon rubbing the lamp, Rick Astley appeared before her and said, “I will give you three wishes.”   She thought for a moment and said, “For my first wish I would like to end world hunger.”  “An admirable request. Consider it granted!” Rick said.   “For my second wish, I would like world peace.” “Ah, this is a very difficult request, but it has been done. And for your final request?”   She thought for a moment and decided to make this a selfish wish. “As a movie buff, I would like a copy of every movie in the world in my own private collection.” The genie a bit taken back . . . . paused and said, “This I cannot do . . .”  “Why!?” The women exclaimed. “ You can fix world hunger and end all wars, but you cannot complete this simple task?!” The Genie looked away and said, “I can, but your collection will not be complete . . . you see . . . I’m never gunna give you Up!”",,None
15,"Racism is a lot like Nickelback... Its fun to joke about, but you never want to see it in person.",,None
16,Is it ok to be against a certain race? because I hate relays.,,None
17,What do you call a smiling Roman with a hair in his teeth? Gladiator.,,None
18,The restaurant Hooters is known for two things... ...boobs.,,Gender-based
19,"A Roman walks into a bar and holds up two fingers. ""Five beers, please.""",,None
20,"“Excuse me, sir, have you seen a police officer around?” “Excuse me, sir, have you seen a police officer around?” - “No, not a soul, actually.” - “Very good, now give me your wallet, watch and laptop!”",,Class/Occupation
21,Today I learned that the elevator was named after Darth Vader's little sister. Ele. Ele Vader.,,None
22,"I met a beautiful girl down at the park today. Sparks flew, she fell at my feet, and we ended up having sex right there and then.  I fucking love my new Taser.",,Gender-based
23,"A man has been having sex with his wife in the dark for 30 years and she just found out he's been using a dildo. Wife: ""Explain the dildo.""  Man: ""Then Explain the kids.""",,Gender-based
24,What do you call a pair of dancing Jews? A Jewet.,,Racial/Ethnic
25,There are two kinds of people in this world: (1) Those who can extrapolate from incomplete data.,,None
26,"What did the egg say to the boiling water?  ""I don't think I can get hard -- I just got laid this morning! ",,None
27,Russian computer: Please enter password Me: Beef_stew Russian computer: Password not stroganoff,,Racial/Ethnic
28,"Teacher/Student  **The teacher says:** Today, we're going to talk about the tenses. Now, if I say ""I am beautiful,"" which tense is it?    **The student says:** Obviously it's the past tense. ",,Gender-based
29,"The German Shepherd cover up... I  found my German Shepherd, Hondo, with the neighbor's pet rabbit in its  mouth. The rabbit was dead, and I panicked.. I took the dirty, chewed-up  rabbit into the house. I gave it  a bath, blew dried its fur, and put  it back into the cage at the neighbor's house, hoping they would think  it died of natural causes.  A few days later, the neighbor asked me, ""Don, did you hear that Fluffy died?""  I said, ""Um... no... what happened?""  The  neighbor replied, ""We found him dead in his cage one day, but the weird  thing is that the day after we buried him, someone had dug him up, gave  him a bath, and put him back into the cage. There are some real sick  people out there!""",,None
30,What's the most powerful country after USA ?    USB.,,None
31,"You’re calling from inside one of the cartels?? ""Yes, they wanted me to go with them""   -Are you kidnapped?   ""Actually…No. I’m grownapped""   -Have they hurt you in any way?   ""No. They just abduct-taped me""",,None
32,"A confused Chinese student asks his master, ""Master Shi, why do all Chinese look the same?"" Then the master replied, ""I am not master Shi.""",,Racial/Ethnic
33,I baked a dog shaped dough in a local baking competition It was pure-bread.,,None
34,"A boy brags to his friends that he just lost his virginity... A boy came running in a room full of his friends bragging about losing his virginity.  His friends asked him to sit down and tell them the whole story.  He replies ""I can't sit down, my ass hurts."" ",,Sexual orientation
35,"It Worked on the Other Side One night, a man and his wife were watching TV. It was about breast implants. The wife said, ”I wish I had bigger breast.”   The man said, ”You don’t have to get silicone breasts, just wipe between your breast with toilet paper.”   ""How would that work?"" asked the wife.   The man said, ""Well, you have been wiping your butt for 50 years and it's gotten bigger.""",,Gender-based
36,"A Guy takes his Friend to a bar A Guy takes his Friend to his favourite bar for the first time. They order a beer and someone shouts: ""7""! Everyone started laughing. The Friend is visibly confused so the Guy explains:   ""Oh, right, you see, we've always been telling the same jokes over and over so we gave each a number, now instead of the joke you say the number and everyone knows what you mean"".  To prove it he says ""24"" and he gets a few chuckles.  ""That was a knock knock joke"". The Friend decides to give it a try and says: ""57"". Everyone goes nuts, they all laugh like crazy. ""Was it this funny?"" he asks. Through tears the Guy says:  ""We haven't heard that one yet""",,None
37,I think I'm failing my marine biology class My grade is below C level. ,,None
38,Post your best Chuck Norris Facts ! Chuck Norris once one a game of connect four in three moves ! ,,None
39,"There was a knock in my door ""Who's there?""  ""Police""  ""Get out, I didn't call police, I called whores""  ""Your neighbors called us""  ""Let them fuck you then""",,Class/Occupation
